article_id,source,title,summary,content,url,published_at,collected_at,language,tickers,companies,sector,topic,sentiment_score,p_positive,p_neutral,p_negative,optimism,fear,uncertainty,attention,attention_weight,disagreement,disagreement_input,risk_intensity,risk_category,evidence_sentence,model_confidence,relevance_weight,time_weight,agg_weight,is_duplicate,dedup_factor
demo-01-01,Demo Market Wire,Apple AI demand update 1 shapes Technology sentiment,AI server orders supported stronger guidance. Investors linked the move to AI demand.,Apple and Microsoft were mentioned in demo coverage of Technology. AI server orders supported stronger guidance. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-01-01,2026-07-07T00:00:00+00:00,2026-07-07T00:00:00+00:00,en,AAPL;MSFT,Apple;Microsoft,Technology,AI demand,0.350,0.554,0.243,0.203,55.4,20.3,50.8,0.0,0.0,0.0,0.350,47.4,earnings risk,AI server orders supported stronger guidance.,0.554,1.000,1.000000,1.000000,False,1.0
demo-01-02,Demo Finance Daily,Microsoft semiconductors update 2 shapes Technology sentiment,chip supply constraints kept investors cautious. Investors linked the move to semiconductors.,Microsoft and Nvidia were mentioned in demo coverage of Technology. chip supply constraints kept investors cautious. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-01-02,2026-07-04T21:00:00+00:00,2026-07-07T00:00:00+00:00,en,MSFT;NVDA,Microsoft;Nvidia,Technology,semiconductors,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,42.1,valuation risk,Analysts said valuation risk should be monitored over the next few weeks.,0.457,1.000,0.492464,0.492464,False,1.0
demo-01-03,Demo Sector Brief,Nvidia cloud growth update 3 shapes Technology sentiment,cloud spending trends remained resilient. Investors linked the move to cloud growth.,Nvidia and AMD were mentioned in demo coverage of Technology. cloud spending trends remained resilient. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-01-03,2026-07-02T18:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMD;NVDA,AMD;Nvidia,Technology,cloud growth,0.311,0.526,0.259,0.215,52.6,21.5,52.6,0.0,0.0,0.0,0.311,47.6,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.526,1.000,0.242521,0.242521,False,1.0
demo-01-04,Demo Analyst Note,AMD earnings risk update 4 shapes Technology sentiment,valuation questions grew after a sharp rally. Investors linked the move to earnings risk.,AMD and Broadcom were mentioned in demo coverage of Technology. valuation questions grew after a sharp rally. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-01-04,2026-06-30T15:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMD;AVGO,AMD;Broadcom,Technology,earnings risk,-0.398,0.152,0.297,0.550,15.2,55.0,53.4,0.0,0.0,0.0,-0.398,46.9,valuation risk,valuation questions grew after a sharp rally.,0.550,1.000,0.119433,0.119433,False,1.0
demo-01-05,Demo Macro Watch,Broadcom AI demand update 5 shapes Technology sentiment,AI server orders supported stronger guidance. Investors linked the move to AI demand.,Broadcom and Apple were mentioned in demo coverage of Technology. AI server orders supported stronger guidance. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-01-05,2026-06-28T12:00:00+00:00,2026-07-07T00:00:00+00:00,en,AAPL;AVGO,Apple;Broadcom,Technology,AI demand,0.350,0.554,0.243,0.203,55.4,20.3,50.8,0.0,0.0,0.0,0.350,47.4,earnings risk,AI server orders supported stronger guidance.,0.554,1.000,0.058816,0.058816,False,1.0
demo-01-06,Demo Market Wire,Apple semiconductors update 6 shapes Technology sentiment,chip supply constraints kept investors cautious. Investors linked the move to semiconductors.,Apple and Microsoft were mentioned in demo coverage of Technology. chip supply constraints kept investors cautious. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-01-06,2026-06-26T09:00:00+00:00,2026-07-07T00:00:00+00:00,en,AAPL;MSFT,Apple;Microsoft,Technology,semiconductors,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,42.1,valuation risk,Analysts said valuation risk should be monitored over the next few weeks.,0.457,1.000,0.028965,0.028965,False,1.0
demo-01-07,Demo Finance Daily,Microsoft cloud growth update 7 shapes Technology sentiment,cloud spending trends remained resilient. Investors linked the move to cloud growth.,Microsoft and Nvidia were mentioned in demo coverage of Technology. cloud spending trends remained resilient. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-01-07,2026-06-24T06:00:00+00:00,2026-07-07T00:00:00+00:00,en,MSFT;NVDA,Microsoft;Nvidia,Technology,cloud growth,0.311,0.526,0.259,0.215,52.6,21.5,52.6,0.0,0.0,0.0,0.311,47.6,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.526,1.000,0.014264,0.014264,False,1.0
demo-01-08,Demo Sector Brief,Nvidia earnings risk update 8 shapes Technology sentiment,valuation questions grew after a sharp rally. Investors linked the move to earnings risk.,Nvidia and AMD were mentioned in demo coverage of Technology. valuation questions grew after a sharp rally. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-01-08,2026-06-22T03:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMD;NVDA,AMD;Nvidia,Technology,earnings risk,-0.398,0.152,0.297,0.550,15.2,55.0,53.4,0.0,0.0,0.0,-0.398,46.9,valuation risk,valuation questions grew after a sharp rally.,0.550,1.000,0.007025,0.007025,False,1.0
demo-01-09,Demo Analyst Note,AMD AI demand update 9 shapes Technology sentiment,AI server orders supported stronger guidance. Investors linked the move to AI demand.,AMD and Broadcom were mentioned in demo coverage of Technology. AI server orders supported stronger guidance. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-01-09,2026-06-21T00:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMD;AVGO,AMD;Broadcom,Technology,AI demand,0.350,0.554,0.243,0.203,55.4,20.3,50.8,0.0,0.0,0.0,0.350,47.4,earnings risk,AI server orders supported stronger guidance.,0.554,1.000,0.004828,0.004828,False,1.0
demo-01-10,Demo Macro Watch,Broadcom semiconductors update 10 shapes Technology sentiment,chip supply constraints kept investors cautious. Investors linked the move to semiconductors.,Broadcom and Apple were mentioned in demo coverage of Technology. chip supply constraints kept investors cautious. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-01-10,2026-06-18T21:00:00+00:00,2026-07-07T00:00:00+00:00,en,AAPL;AVGO,Apple;Broadcom,Technology,semiconductors,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,42.1,valuation risk,Analysts said valuation risk should be monitored over the next few weeks.,0.457,1.000,0.002378,0.002378,False,1.0
demo-01-11,Demo Market Wire,Apple cloud growth update 11 shapes Technology sentiment,cloud spending trends remained resilient. Investors linked the move to cloud growth.,Apple and Microsoft were mentioned in demo coverage of Technology. cloud spending trends remained resilient. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-01-01,2026-06-16T18:00:00+00:00,2026-07-07T00:00:00+00:00,en,AAPL;MSFT,Apple;Microsoft,Technology,cloud growth,0.311,0.526,0.259,0.215,52.6,21.5,52.6,0.0,0.0,0.0,0.311,47.6,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.526,1.000,0.001171,0.000351,True,0.3
demo-01-12,Demo Finance Daily,Apple AI demand update 1 reshapes Technology sentiment,valuation questions grew after a sharp rally. Investors linked the move to earnings risk.,Microsoft and Nvidia were mentioned in demo coverage of Technology. valuation questions grew after a sharp rally. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-01-12,2026-06-14T15:00:00+00:00,2026-07-07T00:00:00+00:00,en,AAPL;MSFT;NVDA,Apple;Microsoft;Nvidia,Technology,AI demand,-0.296,0.177,0.349,0.473,17.7,47.3,58.4,0.0,0.0,0.0,-0.296,43.9,valuation risk,valuation questions grew after a sharp rally.,0.473,1.000,0.000577,0.000404,True,0.7
demo-02-01,Demo Finance Daily,Meta advertising growth update 1 shapes Communication Services sentiment,digital advertising demand improved across large platforms. Investors linked the move to advertising growth.,Meta and Alphabet were mentioned in demo coverage of Communication Services. digital advertising demand improved across large platforms. Analysts said regulatory risk should be monitored over the next few weeks.,https://example.com/demo-02-01,2026-07-03T22:00:00+00:00,2026-07-07T00:00:00+00:00,en,GOOGL;META,Alphabet;Meta,Communication Services,advertising growth,0.311,0.526,0.259,0.215,52.6,21.5,52.6,0.0,0.0,0.0,0.311,62.6,regulatory risk,Analysts said regulatory risk should be monitored over the next few weeks.,0.526,1.000,0.357801,0.357801,False,1.0
demo-02-02,Demo Sector Brief,Alphabet streaming margins update 2 shapes Communication Services sentiment,streaming competition raised questions about margins. Investors linked the move to streaming margins.,Alphabet and Netflix were mentioned in demo coverage of Communication Services. streaming competition raised questions about margins. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-02-02,2026-07-01T19:00:00+00:00,2026-07-07T00:00:00+00:00,en,GOOGL;NFLX,Alphabet;Netflix,Communication Services,streaming margins,-0.216,0.199,0.386,0.415,19.9,41.5,61.5,0.0,0.0,0.0,-0.216,56.4,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.415,1.000,0.176204,0.176204,False,1.0
demo-02-03,Demo Analyst Note,Netflix regulatory risk update 3 shapes Communication Services sentiment,subscriber engagement remained stable. Investors linked the move to regulatory risk.,Netflix and AT&T were mentioned in demo coverage of Communication Services. subscriber engagement remained stable. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-02-03,2026-06-29T16:00:00+00:00,2026-07-07T00:00:00+00:00,en,NFLX;T,AT&T;Netflix,Communication Services,regulatory risk,-0.068,0.318,0.295,0.386,31.8,38.6,57.5,0.0,0.0,0.0,-0.068,65.3,regulatory risk,Investors linked the move to regulatory risk.,0.386,1.000,0.086774,0.086774,False,1.0
demo-02-04,Demo Macro Watch,AT&T subscriber trends update 4 shapes Communication Services sentiment,policy scrutiny around platform rules increased. Investors linked the move to subscriber trends.,AT&T and Verizon were mentioned in demo coverage of Communication Services. policy scrutiny around platform rules increased. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-02-04,2026-06-27T13:00:00+00:00,2026-07-07T00:00:00+00:00,en,T;VZ,AT&T;Verizon,Communication Services,earnings risk,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,72.1,regulatory risk,policy scrutiny around platform rules increased.,0.457,1.000,0.042733,0.042733,False,1.0
demo-02-05,Demo Market Wire,Verizon advertising growth update 5 shapes Communication Services sentiment,digital advertising demand improved across large platforms. Investors linked the move to advertising growth.,Verizon and Meta were mentioned in demo coverage of Communication Services. digital advertising demand improved across large platforms. Analysts said regulatory risk should be monitored over the next few weeks.,https://example.com/demo-02-05,2026-06-25T10:00:00+00:00,2026-07-07T00:00:00+00:00,en,META;VZ,Meta;Verizon,Communication Services,advertising growth,0.311,0.526,0.259,0.215,52.6,21.5,52.6,0.0,0.0,0.0,0.311,62.6,regulatory risk,Analysts said regulatory risk should be monitored over the next few weeks.,0.526,1.000,0.021045,0.021045,False,1.0
demo-02-06,Demo Finance Daily,Meta streaming margins update 6 shapes Communication Services sentiment,streaming competition raised questions about margins. Investors linked the move to streaming margins.,Meta and Alphabet were mentioned in demo coverage of Communication Services. streaming competition raised questions about margins. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-02-06,2026-06-23T07:00:00+00:00,2026-07-07T00:00:00+00:00,en,GOOGL;META,Alphabet;Meta,Communication Services,streaming margins,-0.216,0.199,0.386,0.415,19.9,41.5,61.5,0.0,0.0,0.0,-0.216,56.4,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.415,1.000,0.010364,0.010364,False,1.0
demo-02-07,Demo Sector Brief,Alphabet regulatory risk update 7 shapes Communication Services sentiment,subscriber engagement remained stable. Investors linked the move to regulatory risk.,Alphabet and Netflix were mentioned in demo coverage of Communication Services. subscriber engagement remained stable. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-02-07,2026-06-21T04:00:00+00:00,2026-07-07T00:00:00+00:00,en,GOOGL;NFLX,Alphabet;Netflix,Communication Services,regulatory risk,-0.068,0.318,0.295,0.386,31.8,38.6,57.5,0.0,0.0,0.0,-0.068,65.3,regulatory risk,Investors linked the move to regulatory risk.,0.386,1.000,0.005104,0.005104,False,1.0
demo-02-08,Demo Analyst Note,Netflix subscriber trends update 8 shapes Communication Services sentiment,policy scrutiny around platform rules increased. Investors linked the move to subscriber trends.,Netflix and AT&T were mentioned in demo coverage of Communication Services. policy scrutiny around platform rules increased. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-02-08,2026-06-19T01:00:00+00:00,2026-07-07T00:00:00+00:00,en,NFLX;T,AT&T;Netflix,Communication Services,earnings risk,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,72.1,regulatory risk,policy scrutiny around platform rules increased.,0.457,1.000,0.002513,0.002513,False,1.0
demo-02-09,Demo Macro Watch,AT&T advertising growth update 9 shapes Communication Services sentiment,digital advertising demand improved across large platforms. Investors linked the move to advertising growth.,AT&T and Verizon were mentioned in demo coverage of Communication Services. digital advertising demand improved across large platforms. Analysts said regulatory risk should be monitored over the next few weeks.,https://example.com/demo-02-09,2026-06-17T22:00:00+00:00,2026-07-07T00:00:00+00:00,en,T;VZ,AT&T;Verizon,Communication Services,advertising growth,0.311,0.526,0.259,0.215,52.6,21.5,52.6,0.0,0.0,0.0,0.311,62.6,regulatory risk,Analysts said regulatory risk should be monitored over the next few weeks.,0.526,1.000,0.001727,0.001727,False,1.0
demo-02-10,Demo Market Wire,Verizon streaming margins update 10 shapes Communication Services sentiment,streaming competition raised questions about margins. Investors linked the move to streaming margins.,Verizon and Meta were mentioned in demo coverage of Communication Services. streaming competition raised questions about margins. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-02-10,2026-06-15T19:00:00+00:00,2026-07-07T00:00:00+00:00,en,META;VZ,Meta;Verizon,Communication Services,streaming margins,-0.216,0.199,0.386,0.415,19.9,41.5,61.5,0.0,0.0,0.0,-0.216,56.4,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.415,1.000,0.000851,0.000851,False,1.0
demo-02-11,Demo Finance Daily,Meta regulatory risk update 11 shapes Communication Services sentiment,subscriber engagement remained stable. Investors linked the move to regulatory risk.,Meta and Alphabet were mentioned in demo coverage of Communication Services. subscriber engagement remained stable. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-02-01,2026-06-13T16:00:00+00:00,2026-07-07T00:00:00+00:00,en,GOOGL;META,Alphabet;Meta,Communication Services,regulatory risk,-0.068,0.318,0.295,0.386,31.8,38.6,57.5,0.0,0.0,0.0,-0.068,65.3,regulatory risk,Investors linked the move to regulatory risk.,0.386,1.000,0.000419,0.000126,True,0.3
demo-02-12,Demo Sector Brief,Meta advertising growth update 1 reshapes Communication Services sentiment,policy scrutiny around platform rules increased. Investors linked the move to subscriber trends.,Alphabet and Netflix were mentioned in demo coverage of Communication Services. policy scrutiny around platform rules increased. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-02-12,2026-06-11T13:00:00+00:00,2026-07-07T00:00:00+00:00,en,GOOGL;META;NFLX,Alphabet;Meta;Netflix,Communication Services,earnings risk,-0.170,0.250,0.329,0.421,25.0,42.1,58.9,0.0,0.0,0.0,-0.170,69.2,regulatory risk,policy scrutiny around platform rules increased.,0.421,1.000,0.000206,0.000144,True,0.7
demo-03-01,Demo Sector Brief,Amazon consumer spending update 1 shapes Consumer Discretionary sentiment,online sales showed resilient consumer demand. Investors linked the move to consumer spending.,Amazon and Tesla were mentioned in demo coverage of Consumer Discretionary. online sales showed resilient consumer demand. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-03-01,2026-06-30T20:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMZN;TSLA,Amazon;Tesla,Consumer Discretionary,consumer spending,0.116,0.390,0.336,0.274,39.0,27.4,59.8,0.0,0.0,0.0,0.116,48.4,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.390,1.000,0.128022,0.128022,False,1.0
demo-03-02,Demo Analyst Note,Tesla earnings risk update 2 shapes Consumer Discretionary sentiment,ticket sizes softened as shoppers became selective. Investors linked the move to earnings risk.,Tesla and Nike were mentioned in demo coverage of Consumer Discretionary. ticket sizes softened as shoppers became selective. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-03-02,2026-06-28T17:00:00+00:00,2026-07-07T00:00:00+00:00,en,NKE;TSLA,Nike;Tesla,Consumer Discretionary,earnings risk,-0.427,0.157,0.259,0.584,15.7,58.4,50.3,0.0,0.0,0.0,-0.427,62.5,earnings risk,Investors linked the move to earnings risk.,0.584,1.000,0.063046,0.063046,False,1.0
demo-03-03,Demo Macro Watch,Nike demand risk update 3 shapes Consumer Discretionary sentiment,restaurant traffic held up better than expected. Investors linked the move to demand risk.,Nike and Home Depot were mentioned in demo coverage of Consumer Discretionary. restaurant traffic held up better than expected. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-03-03,2026-06-26T14:00:00+00:00,2026-07-07T00:00:00+00:00,en,HD;NKE,Home Depot;Nike,Consumer Discretionary,earnings risk,-0.068,0.318,0.295,0.386,31.8,38.6,57.5,0.0,0.0,0.0,-0.068,50.3,demand risk,restaurant traffic held up better than expected.,0.386,1.000,0.031048,0.031048,False,1.0
demo-03-04,Demo Market Wire,Home Depot valuation risk update 4 shapes Consumer Discretionary sentiment,auto demand concerns weighed on growth expectations. Investors linked the move to valuation risk.,Home Depot and McDonald's were mentioned in demo coverage of Consumer Discretionary. auto demand concerns weighed on growth expectations. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-03-04,2026-06-24T11:00:00+00:00,2026-07-07T00:00:00+00:00,en,HD;MCD,Home Depot;McDonald's,Consumer Discretionary,general market sentiment,-0.471,0.166,0.197,0.637,16.6,63.7,44.8,0.0,0.0,0.0,-0.471,78.4,macro risk,Analysts said macro risk should be monitored over the next few weeks.,0.637,1.000,0.015290,0.015290,False,1.0
demo-03-05,Demo Finance Daily,McDonald's consumer spending update 5 shapes Consumer Discretionary sentiment,online sales showed resilient consumer demand. Investors linked the move to consumer spending.,McDonald's and Amazon were mentioned in demo coverage of Consumer Discretionary. online sales showed resilient consumer demand. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-03-05,2026-06-22T08:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMZN;MCD,Amazon;McDonald's,Consumer Discretionary,consumer spending,0.116,0.390,0.336,0.274,39.0,27.4,59.8,0.0,0.0,0.0,0.116,48.4,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.390,1.000,0.007530,0.007530,False,1.0
demo-03-06,Demo Sector Brief,Amazon earnings risk update 6 shapes Consumer Discretionary sentiment,ticket sizes softened as shoppers became selective. Investors linked the move to earnings risk.,Amazon and Tesla were mentioned in demo coverage of Consumer Discretionary. ticket sizes softened as shoppers became selective. Analysts said valuation risk should be monitored over the next few weeks.,https://example.com/demo-03-06,2026-06-20T05:00:00+00:00,2026-07-07T00:00:00+00:00,en,AMZN;TSLA,Amazon;Tesla,Consumer Discretionary,earnings risk,-0.427,0.157,0.259,0.584,15.7,58.4,50.3,0.0,0.0,0.0,-0.427,62.5,earnings risk,Investors linked the move to earnings risk.,0.584,1.000,0.003708,0.003708,False,1.0
demo-03-07,Demo Analyst Note,Tesla demand risk update 7 shapes Consumer Discretionary sentiment,restaurant traffic held up better than expected. Investors linked the move to demand risk.,Tesla and Nike were mentioned in demo coverage of Consumer Discretionary. restaurant traffic held up better than expected. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-03-07,2026-06-18T02:00:00+00:00,2026-07-07T00:00:00+00:00,en,NKE;TSLA,Nike;Tesla,Consumer Discretionary,earnings risk,-0.068,0.318,0.295,0.386,31.8,38.6,57.5,0.0,0.0,0.0,-0.068,50.3,demand risk,restaurant traffic held up better than expected.,0.386,1.000,0.001826,0.001826,False,1.0
demo-03-08,Demo Macro Watch,Nike valuation risk update 8 shapes Consumer Discretionary sentiment,auto demand concerns weighed on growth expectations. Investors linked the move to valuation risk.,Nike and Home Depot were mentioned in demo coverage of Consumer Discretionary. auto demand concerns weighed on growth expectations. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-03-08,2026-06-16T23:00:00+00:00,2026-07-07T00:00:00+00:00,en,HD;NKE,Home Depot;Nike,Consumer Discretionary,general market sentiment,-0.471,0.166,0.197,0.637,16.6,63.7,44.8,0.0,0.0,0.0,-0.471,78.4,macro risk,Analysts said macro risk should be monitored over the next few weeks.,0.637,1.000,0.001255,0.001255,False,1.0
